text_data,source_language,target_language,target_text,final_text_data
"তিনি বলেন, '১০ বছর আগে যে পরিমাণ আয় করতাম এখন তার অর্ধেকের কম আয় হচ্ছে। আমাদের সমাজে সংস্কৃতিচর্চা কমে গেছে। ফলে বাদ্যযন্ত্রের ব্যবহারও কমে গেছে। পৈতৃক পেশা ছেড়ে দিতে আমিও প্রস্তুতি নিচ্ছি।",Bangla,English,"He said, ‘I now earn less than half of what I earned ten years ago. Cultural practices in our society have declined. As a result, the use of musical instruments has also decreased. I am also preparing to give up my ancestral profession.’","তিনি বলেন, '১০ বছর আগে যে পরিমাণ আয় করতাম এখন তার অর্ধেকের কম আয় হচ্ছে। আমাদের সমাজে সংস্কৃতিচর্চা কমে গেছে। ফলে বাদ্যযন্ত্রের ব্যবহারও কমে গেছে। পৈতৃক পেশা ছেড়ে দিতে আমিও প্রস্তুতি নিচ্ছি।"
"টি-টোয়েন্টি বিশ্বকাপে বাংলাদেশের জার্সি উন্মোচন

আসন্ন টি-টোয়েন্টি বিশ্বকাপ ২০২৪ এর জন্য বাংলাদেশের জার্সি অবশেষে প্রকাশ্যে আনলো বাংলাদেশ ক্রিকেট বোর্ড (বিসিবি)। বিশ্বকাপ স্কোয়াডে থাকা ১৫ জনের জার্সি পরিহিত এক ছবি সামাজিক যোগাযোগমাধ্যমে প্রকাশ করে বিসিবি। প্রতিবারের ন্যায় এবারও চিরায়ত নিয়ম মেনে জার্সিতে প্রাধান্য পেয়েছে গাঢ় সবুজ রঙ। পুরো জার্সিতেই বাঘের ডোরাকাটা আবছা ছাপ রাখা হয়েছে।",Bangla,English,"Bangladesh's jersey for the T20 World Cup unveiled

The Bangladesh Cricket Board (BCB) has finally brought Bangladesh's jersey for the upcoming 2024 T20 World Cup into the public eye. BCB published on social media a picture of the 15 members of the World Cup squad wearing the jersey. As on every occasion, the dark green colour has once again been given prominence on the jersey in keeping with the traditional convention. A faint tiger-stripe print has been kept across the entire jersey.","টি-টোয়েন্টি বিশ্বকাপে বাংলাদেশের জার্সি উন্মোচন

আসন্ন টি-টোয়েন্টি বিশ্বকাপ ২০২৪ এর জন্য বাংলাদেশের জার্সি অবশেষে প্রকাশ্যে আনলো বাংলাদেশ ক্রিকেট বোর্ড (বিসিবি)। বিশ্বকাপ স্কোয়াডে থাকা ১৫ জনের জার্সি পরিহিত এক ছবি সামাজিক যোগাযোগমাধ্যমে প্রকাশ করে বিসিবি। প্রতিবারের ন্যায় এবারও চিরায়ত নিয়ম মেনে জার্সিতে প্রাধান্য পেয়েছে গাঢ় সবুজ রঙ। পুরো জার্সিতেই বাঘের ডোরাকাটা আবছা ছাপ রাখা হয়েছে।"
 এই অস্ট্রেলিয়ার কাছেই ঘরের মাঠে ওয়ানডে বিশ্বকাপ হাতছাড়া করেছিল ভারত। এবার তাদের বিপক্ষে বিশ্বমঞ্চে আবার মুখোমুখি রোহিত শর্মার দল। সোমবার (২৪ জুন) সেন্ট লুসিয়ায় রাত সাড়ে আটটায় শুরু হবে ম্যাচটি। রোহিত শর্মাদের জন্য ম্যাচটি গত ওয়ানডে বিশ্বকাপের ফাইনাল হারের প্রতিশোধ নেয়ার সুযোগ। চলতি আসরে ভারতের জয়ের ফুলঝুরি ছুটছে। এখনও পর্যন্ত হার তো দুরের কথা ভারতীয় দলের বিপক্ষে কেউ প্রতিদ্বন্দ্বিতা পর্যন্ত করতে পারেনি। ব্যাটিং নিয়ে কিছুটা সংশয় থাকলেও ভারতীয় বোলিংয়ের সামনে বিপক্ষ দলের ব্যাটাররা অসহায় আত্মসমার্পণ করছে।।,Bangla,English,"It was against this very Australia that India had let the ODI World Cup slip away on home soil. This time, Rohit Sharma's team will again face them on the world stage. On Monday (24 June), the match will begin at 8.30 p.m. in St Lucia. For Rohit Sharma's team, the match is an opportunity to avenge the defeat in the final of the last ODI World Cup. In the current tournament, wins have been pouring in for India. So far, leave alone defeat, no one has even been able to compete against the Indian team. Although there is some doubt over the batting, the opposing team's batters are surrendering helplessly before India's bowling.", এই অস্ট্রেলিয়ার কাছেই ঘরের মাঠে ওয়ানডে বিশ্বকাপ হাতছাড়া করেছিল ভারত। এবার তাদের বিপক্ষে বিশ্বমঞ্চে আবার মুখোমুখি রোহিত শর্মার দল। সোমবার (২৪ জুন) সেন্ট লুসিয়ায় রাত সাড়ে আটটায় শুরু হবে ম্যাচটি। রোহিত শর্মাদের জন্য ম্যাচটি গত ওয়ানডে বিশ্বকাপের ফাইনাল হারের প্রতিশোধ নেয়ার সুযোগ। চলতি আসরে ভারতের জয়ের ফুলঝুরি ছুটছে। এখনও পর্যন্ত হার তো দুরের কথা ভারতীয় দলের বিপক্ষে কেউ প্রতিদ্বন্দ্বিতা পর্যন্ত করতে পারেনি। ব্যাটিং নিয়ে কিছুটা সংশয় থাকলেও ভারতীয় বোলিংয়ের সামনে বিপক্ষ দলের ব্যাটাররা অসহায় আত্মসমার্পণ করছে।।
"সেদিন বার্নাব্যুকে চুপ করিয়ে দিয়েছিলেন মেসি

 লিওনেল মেসির জার্সি খোলা সেলেব্রেশন আর জায়গাটা ন্যু ক্যাম্প নয়, তবুও তো গ্যালারি থেকে ভেসে আসবে হাততালি আর অভিনন্দন। তবে আজ থেকে সাত বছর আগে পৃথিবীতে একটা জায়গা ছিল যা এই সেলেব্রেশনেও চুপ হয়ে যাবার জন্য একেবারে মোক্ষম। সেটি সান্তিয়াগো বার্নাব্যু। হ্যা, দিবারাত্রীর খেলা ২৩ এপ্রিল হলেও বাংলাদেশ সময় সেটি রাত ১২টা পার হয়ে যায়।",Bangla,English,"That day Messi silenced the Bernabeu

Even if it is Lionel Messi's shirt-off celebration and the place is not Camp Nou, applause and congratulations would still come floating from the stands. However, seven years ago from today, there was one place in the world that was absolutely ideal for falling silent even at this celebration. That was the Santiago Bernabeu. Yes, although the day-night match was on 23 April, by Bangladesh time it had gone past midnight.","সেদিন বার্নাব্যুকে চুপ করিয়ে দিয়েছিলেন মেসি

 লিওনেল মেসির জার্সি খোলা সেলেব্রেশন আর জায়গাটা ন্যু ক্যাম্প নয়, তবুও তো গ্যালারি থেকে ভেসে আসবে হাততালি আর অভিনন্দন। তবে আজ থেকে সাত বছর আগে পৃথিবীতে একটা জায়গা ছিল যা এই সেলেব্রেশনেও চুপ হয়ে যাবার জন্য একেবারে মোক্ষম। সেটি সান্তিয়াগো বার্নাব্যু। হ্যা, দিবারাত্রীর খেলা ২৩ এপ্রিল হলেও বাংলাদেশ সময় সেটি রাত ১২টা পার হয়ে যায়।"
"কামেল তার চাচার বাড়িতে দুই রাত অবস্থান করেন। তারপরে রাফাহ যান। সেখানে কল্পনাতীত সংখ্যক মানুষ জড়ো হয়েছিলেন। কামেল বলেন, 'ইসরায়েল যদি রাফাহ আক্রমণ করে এবং উত্তর গাজার মতো বোমা বর্ষণ করে, তাহলে একদিনেই সেটা গণহত্যা হবে।'",Bangla,English,"Kamel stayed at his uncle's house for two nights. After that, he went to Rafah. There, an unimaginable number of people had gathered. Kamel said, 'If Israel attacks Rafah and bombs it like northern Gaza, it will be genocide in a single day.'","কামেল তার চাচার বাড়িতে দুই রাত অবস্থান করেন। তারপরে রাফাহ যান। সেখানে কল্পনাতীত সংখ্যক মানুষ জড়ো হয়েছিলেন। কামেল বলেন, 'ইসরায়েল যদি রাফাহ আক্রমণ করে এবং উত্তর গাজার মতো বোমা বর্ষণ করে, তাহলে একদিনেই সেটা গণহত্যা হবে।'"
" তবে ফিফা বর্ষসেরার দৌড়ে সবচেয়ে জোরালো দাবিদার ম্যানসিটি তারকা আর্লিং হালান্ড। সিটিজেনদের ট্রেবল জয়ের অন্যতম নায়ক এই গোলমেশিন। ফিফার বেঁধে দেয়া সময়ের মধ্যে তার পা থেকে এসেছে ২৮ গোল। এদিকে, বর্ষসেরা নারী ফুটবলারের সংক্ষিপ্ত তালিকায় জায়গা পেয়েছেন স্পেনের বিশ্বকাপজয়ী দুই ফুটবলার আইতানা বোনমাতি ও হাভিয়ের এরমোসোর। এই দৌড়ে আরও আছেন কলম্বিয়ার লিনদা কাইসেদো।।",Bangla,English,"However, Manchester City star Erling Haaland is the strongest contender in the race for FIFA's Best Player of the Year. This goal machine was one of the heroes of the Citizens' treble triumph. Within the time set by FIFA, 28 goals have come from his feet. Meanwhile, two of Spain's World Cup-winning footballers, Aitana Bonmatí and Havier Hermoso, have made it onto the shortlist for Women's Player of the Year. Colombia's Linda Caicedo is also in this race."," তবে ফিফা বর্ষসেরার দৌড়ে সবচেয়ে জোরালো দাবিদার ম্যানসিটি তারকা আর্লিং হালান্ড। সিটিজেনদের ট্রেবল জয়ের অন্যতম নায়ক এই গোলমেশিন। ফিফার বেঁধে দেয়া সময়ের মধ্যে তার পা থেকে এসেছে ২৮ গোল। এদিকে, বর্ষসেরা নারী ফুটবলারের সংক্ষিপ্ত তালিকায় জায়গা পেয়েছেন স্পেনের বিশ্বকাপজয়ী দুই ফুটবলার আইতানা বোনমাতি ও হাভিয়ের এরমোসোর। এই দৌড়ে আরও আছেন কলম্বিয়ার লিনদা কাইসেদো।।"
"আমরা আরও শক্তিশালীভাবে ফিরতে পারব: শান্ত

 তিন ম্যাচের ওয়ানডে সিরিজের দ্বিতীয় ম্যাচে বাংলাদেশকে হারিয়ে সিরিজে সমতা এনেছে শ্রীলঙ্কা। বাংলাদেশের দেয়া ২৮৭ রানের লক্ষ্যে ব্যাট করতে নেমে ১৭ বল বাকি থাকতেই জয়ের বন্দরে পৌঁছে যায় সফরকারীরা। শুক্রবার (১৫ মার্চ) ম্যাচ হারের পর টাইগার অধিনায়ক নাজমুল হোসেন শান্ত ম্যাচ জয়ের কৃতিত্ব দিয়েছেন লঙ্কান ক্রিকেটারদের। পাশাপাশি, পরের ম্যাচে বিশেষ কিছুর অপেক্ষায় রয়েছেন বলেও জানিয়েছেন তিনি।।",Bangla,English,"We Can Come Back Even Stronger: Shanto

Sri Lanka levelled the series by defeating Bangladesh in the second match of the three-match ODI series. The visitors secured victory with 17 balls to spare after coming out to chase Bangladesh's 287-run target. After losing the match on Friday (15 March), Tigers captain Najmul Hossain Shanto credited the Sri Lankan cricketers for the win. He also said that he was awaiting something special in the next match.","আমরা আরও শক্তিশালীভাবে ফিরতে পারব: শান্ত

 তিন ম্যাচের ওয়ানডে সিরিজের দ্বিতীয় ম্যাচে বাংলাদেশকে হারিয়ে সিরিজে সমতা এনেছে শ্রীলঙ্কা। বাংলাদেশের দেয়া ২৮৭ রানের লক্ষ্যে ব্যাট করতে নেমে ১৭ বল বাকি থাকতেই জয়ের বন্দরে পৌঁছে যায় সফরকারীরা। শুক্রবার (১৫ মার্চ) ম্যাচ হারের পর টাইগার অধিনায়ক নাজমুল হোসেন শান্ত ম্যাচ জয়ের কৃতিত্ব দিয়েছেন লঙ্কান ক্রিকেটারদের। পাশাপাশি, পরের ম্যাচে বিশেষ কিছুর অপেক্ষায় রয়েছেন বলেও জানিয়েছেন তিনি।।"
"টাইগার থ্রি: একই পর্দায় সালমান-শাহরুখ-হৃত্বিক

একই পর্দায় দেখা মিলবে সালমান-শাহরুখ-হৃত্বিককে। ‘টাইগার থ্রি’র ট্রেলার মুক্তি পাওয়ার সাথে সাথেই ভক্তদের মাঝে শুরু হয়েছে তুমুল উত্তেজনা। সিনেমাটিতে সালমান খান ও ক্যাটরিনা কাইফের পাশাপাশি খলনায়ক চরিত্রে দেখা যাবে ইমরান হাশমীকে। গুঞ্জন রয়েছে, হৃত্বিক রোশন ও শাহরুখ খান ক্যামিও চরিত্রে অভিনয় করবেন টাইগার ফ্র্যাঞ্চাইজির তৃতীয় কিস্তিতে।",Bangla,English,"Tiger 3: Salman, Shah Rukh and Hrithik on the Same Screen

Salman, Shah Rukh and Hrithik will be seen together on the same screen. As soon as the trailer for Tiger 3 was released, intense excitement began among fans. Alongside Salman Khan and Katrina Kaif, Emraan Hashmi will be seen in a villain's role in the film. There are rumours that Hrithik Roshan and Shah Rukh Khan will appear in cameo roles in the third instalment of the Tiger franchise.","টাইগার থ্রি: একই পর্দায় সালমান-শাহরুখ-হৃত্বিক

একই পর্দায় দেখা মিলবে সালমান-শাহরুখ-হৃত্বিককে। ‘টাইগার থ্রি’র ট্রেলার মুক্তি পাওয়ার সাথে সাথেই ভক্তদের মাঝে শুরু হয়েছে তুমুল উত্তেজনা। সিনেমাটিতে সালমান খান ও ক্যাটরিনা কাইফের পাশাপাশি খলনায়ক চরিত্রে দেখা যাবে ইমরান হাশমীকে। গুঞ্জন রয়েছে, হৃত্বিক রোশন ও শাহরুখ খান ক্যামিও চরিত্রে অভিনয় করবেন টাইগার ফ্র্যাঞ্চাইজির তৃতীয় কিস্তিতে।"
 প্রথমবারের মতো টি-টোয়েন্টি দলে সুযোগ পেয়েছেন রায়ান রিকেলটন ও ওটনিয়েল বার্টমান। রিকেলটন সর্বশেষ এসএ টি-টোয়েন্টিতে সর্বোচ্চ রান সংগ্রাহক ছিলেন। ১০ ম্যাচে করেছিলেন ৫৩০ রান। ডি ককের সঙ্গে তাকে ওপেনিংয়ে দেখা যেতে পারে।।,Bangla,English,Ryan Rickelton and Ottniel Baartman have been selected for the T20 team for the first time. Rickelton was the highest run-scorer in the most recent SA T20. He scored 530 runs in 10 matches. He may be seen opening the innings with de Kock.,
"ভিন্ন ভিন্ন ইস্যুতে শিক্ষার্থীরা বিভক্ত হওয়ায় গণঅভ্যুত্থানের ঐক্য নষ্ট হচ্ছে কি না, এমন প্রশ্নে বৈষম্যবিরোধী ছাত্র আন্দোলনের আহ্বায়ক হাসনাত আবদুল্লাহ বলেন, 'শিক্ষার্থীদের মধ্যে নিশ্চয়ই ঐক্য নষ্ট হচ্ছে। তবে ৫ জুলাইয়ের আগে যারা এ আন্দোলনের বিরোধিতা করেছে, তারাই এখন শিক্ষার্থীদের ভিন্ন ভিন্ন আন্দোলনে দাঁড় করিয়ে আমাদের স্বাধীনতার অর্জনকে প্রশ্নবিদ্ধ করতে চাচ্ছে। বলতে পারি এতটুকু, ছাত্রশক্তিতে ঐক্যের বিভেদ তৈরি করে এরা কখনোই সফল হতে পারবে না। তারুণ্য লড়তে শিখে গেছে।'",Bangla,English,"When asked whether the unity of the mass uprising is being undermined as students are divided over different issues, Hasnat Abdullah, convener of the anti-discrimination student movement, said, 'Certainly, unity among students is being eroded. However, those who opposed this movement before July 5 are now trying to question our achievement of independence by pushing students into different movements. I can say this much: they will never succeed by creating division in student unity. The youth have learned to fight.'",
"আজ টিভিতে দেখা যাবে যেসব খেলা (১৯ মার্চ)

 প্রাইম ভলিবল লিগ ছাড়া ছোট পর্দায় আজ সরাসরি কোনো খেলা নেই। চলুন দেখে নেয়া যাক টিভিতে আজকের খেলার সময়সূচি: ভলিবল",Bangla,English,"Games to Watch on TV Today (19 March)

Except for the Prime Volleyball League, there are no live sports on TV today. Let's take a look at today's TV sports schedule: Volleyball.",
"উপরন্তু এই ৫০ জন সম্পাদকের মধ্যে এমনও অনেকের নাম দেখা যাচ্ছে, সম্পাদক হিসেবে তো বটেই, ওইসব পত্রিকার নামও হয়তো দেশের মানুষ এর আগে খুব একটা শোনেনি। এর মধ্যে অনেক পত্রিকা হয়তো ২০০ কপিও বিক্রি হয় না। অথচ তারাও নোবেলজয়ীদের চিঠির পাল্টা বিবৃতি দিয়েছেন। ফলে যে প্রশ্নটি ঘুরেফিরে আসে তা হলো, এই বিবৃতির আসলে উদ্দেশ্য কী?",Bangla,English,"Moreover, among these 50 editors, there are many names that people in the country may not have heard of before, not just as editors but also the names of those publications. Many of these publications may not even sell 200 copies. Yet, they have issued a counter-statement to the Nobel laureates' letter. As a result, the recurring question is, what is the actual purpose of this statement?",
" বাস্তবটা তেমন না। দেখা গেছে হাফ ডজনেরও বেশি দেশের ১৫ জন ক্রিকেটার রয়েছেন দলটিতে। এমনকি তারা প্রত্যেকে খেলেছেন পেশাদার ক্রিকেট, অভিজ্ঞতা আছে আইপিএলসহ বড় ফ্র্যাঞ্চাইজি লিগ খেলারও। কাজেই মার্কিন এই দল একেবারে আনাড়ি কিংবা আমেরিকান নয়।",Bangla,English,"The reality is not like that. It has been seen that the team includes 15 cricketers from more than half a dozen countries. In fact, each of them has played professional cricket and has experience playing in major franchise leagues, including the IPL. So, this American team is neither completely inexperienced nor purely American.",
"এই শহরের বাসগুলো দেখলে মনে হয় যেন এখনই মারামারি করে ফিরলো; অথবা সেই মারামারি থামেনি এখনো।রাস্তায় এমন অস্থির প্রতিযোগিতা চলছে সবসময়। মনে হয়, বাসটিকে পিছন থেকে কেউ হত্যা করার জন্য তাড়া করছে। প্রায় সব বাসের চিত্র একই হলেও রাস্তায় এ নিয়ে জনগণের মধ্যে কোনো প্রতিক্রিয়া দেখা যায় না।",Bangla,English,"Looking at the buses in this city, it feels as if they've just returned from a brawl; or perhaps that brawl hasn't stopped yet. There's always such frantic competition on the roads. It seems as if someone is chasing the bus from behind to kill it. Although the scene is almost the same for every bus, no reaction is seen among the people on the streets regarding this.",
"ইউরোর উদ্বোধনী অনুষ্ঠানে থাকবেন বেকেনবাওয়ার!

 গত জানুয়ারিতে তিনি চলে গেছেন না ফেরার দেশে। এবার তার দেশ আয়োজন করছে উয়েফা ইউরো। বেঁচে থাকলে হয়তো পুরো টুর্নামেন্ট আয়োজনের সঙ্গে সম্পৃক্ত থাকতেন ফ্র্যাঞ্জ বেকেনবাওয়ার। নিয়মিত তাকে দেখা যেত গ্যালারিতে। জার্মান কিংবদন্তিকে তাই ভিন্নভাবে স্মরণ করার, সম্মানিত করার উদ্যোগ নিয়েছে ইউরোপিয়ান ফুড়টবল কনফেডারেশন উয়েফা। শরীরী উপস্থিতি না থাকলেও এবারের ইউরো চ্যাম্পিয়নশিপের উদ্বোধনীতে তাই ‘থাকবেন’ বেকেনবাওয়ার। ১৪ জুন মিউনিখ ফুটবল অ্যারেনায় উদ্বোধনী অনুষ্ঠানে ট্রফি মাঠে আনতে তার প্রতিনিধিত্ব করবেন তার স্ত্রী।।",Bangla,English,"Beckenbauer will be at the Euro opening ceremony!

Last January, he passed away to the land of no return. This time, his country is hosting the UEFA Euro. Had he been alive, Franz Beckenbauer might have been involved in organizing the entire tournament. He would have been regularly seen in the gallery. Therefore, the European Football Confederation UEFA has taken the initiative to remember and honor the German legend in a different way. Even though he won't be physically present, Beckenbauer will 'be there' at the opening ceremony of this year's Euro Championship. On June 14, at the Munich Football Arena, his wife will represent him to bring the trophy onto the field during the opening ceremony.",
"ফোডেনের জোড়া গোলে ‘ম্যানচেস্টার ডার্বি’ জিতলো সিটি

ইংলিশ প্রিমিয়ার লিগে ‘ম্যানচেস্টার ডার্বি’তে ম্যানচেস্টার ইউনাইটেডকে ৩-১ গোলে হারিয়েছে ম্যানচেস্টার সিটি। ম্যাচের শুরুতেই মার্কাস র‍্যাশফোর্ডের গোলে এগিয়ে যায় রেড ডেভিলরা। এরপর একক আধিপত্য দেখায় সিটিজেনরা। একের এক আক্রমণের পশরা সাজিয়ে দ্বিতীয়ার্ধে দারুণ সব গোলে ডার্বি জয়ের উল্লাসে মাতে পেপ গার্দিওলার শিষ্যরা।",Bangla,English,"City Triumphs in 'Manchester Derby' with Foden Brace

In the English Premier League 'Manchester Derby,' Manchester City defeated Manchester United 3-1. The Red Devils took the lead early in the match with a goal from Marcus Rashford. After that, the Citizens displayed complete dominance. Launching attack after attack, Pep Guardiola's men celebrated derby victory with some brilliant goals in the second half.",
 সপ্তম ওভারের তৃতীয় বলে সুনিল নারিনকে বোল্ড করে সাজঘরে ফেরত পাঠান তিনি। আউট হবার আগে ২২ বলে ৪৭ রানের এক টর্নেডো ইনিংস খেলেন নারিন। নারিন আউট হবার পর বেশিক্ষণ ক্রিজে টিকতে পারেননি আরেক ওপেনার সল্টও। ৩০ রান করে বিজয়কুমারের বলে গ্রিনের তালুবন্দি হয়ে মাঠ ছাড়েন তিনি।।,Bangla,English,"On the third ball of the seventh over, he bowled Sunil Narine and sent him back to the pavilion. Before getting out, Narine played a whirlwind innings of 47 runs off 22 balls. After Narine's dismissal, the other opener, Salt, couldn't stay at the crease for long either. He departed the field after scoring 30 runs, caught by Green off Vijaykumar's bowling.",
"ইসরায়েলি ধ্বংসযজ্ঞে হুমকির মুখে জেরুজালেমের পর্যটন খাত

 ইসরায়েল-হামাস যুদ্ধের কারণে প্রায় জনমানবশূন্য হয়ে পড়েছে জেরুজালেমের পর্যটন এলাকা। ধর্মীয় গুরুত্ব আর সমৃদ্ধ ঐতিহ্যের কারণে প্রতি বছর সেখানে ভ্রমণে যায় লাখলাখ মানুষ। চলমান সংঘাতে একেবারেই খালি হয়ে পড়েছে শহরটি। এতে ব্যাপক ক্ষতির মুখে পর্যটন কেন্দ্রিক ছোট-বড় সব ব্যবসা প্রতিষ্ঠান। প্রতি বছর এই সময় জেরুজালেমে থাকে পর্যটকদের উপচে পড়া ভিড়। ইসরায়েলি আগ্রাসনে শহরটিতে এখন পর্যটকদের উপস্থিতি একেবারেই নেই।।",Bangla,English,"Jerusalem’s tourism sector under threat due to Israeli devastation

Because of the Israel–Hamas war, Jerusalem’s tourist area has become almost deserted. Every year, hundreds of thousands of people travel there because of its religious significance and rich heritage. The ongoing conflict has left the city completely empty. As a result, all tourism-related businesses, small and large, are facing severe losses. At this time of year, Jerusalem is usually overflowing with tourists. Due to Israeli aggression, there is now no presence of tourists in the city at all.",
 অতীতের সব নজির ভেঙে নতুন নজির গড়ল এই ছবি। খবর আনন্দবাজারের। ৩৭ দিনেই হিন্দি চলচ্চিত্র দুনিয়ায় এই মুহূর্তে সব চেয়ে সফল ছবির তকমা পেয়েছে ‘পাঠান’। এতদিন সেই জায়গা ধরে রেখেছিল ‘বাহুবলী ২’। তাকে হারিয়ে সেরার শিরোপা পেল ‘পাঠান’।।,Bangla,English,"This film has set a new record, breaking all past records. Anandabazar reports this. Pathaan has earned the tag of the most successful film in the Hindi film industry at this moment in just 37 days. Baahubali 2 had held that position until now. Pathaan claimed the top title by defeating it.", অতীতের সব নজির ভেঙে নতুন নজির গড়ল এই ছবি। খবর আনন্দবাজারের। ৩৭ দিনেই হিন্দি চলচ্চিত্র দুনিয়ায় এই মুহূর্তে সব চেয়ে সফল ছবির তকমা পেয়েছে ‘পাঠান’। এতদিন সেই জায়গা ধরে রেখেছিল ‘বাহুবলী ২’। তাকে হারিয়ে সেরার শিরোপা পেল ‘পাঠান’।।
"চীন সফর বাতিল হওয়ায় রোনালদোর দুঃখ প্রকাশ

 চীন সফরের দুটি প্রস্তুতি ম্যাচ বাতিল করেছে আল নাসর। ক্ষুব্ধ দর্শকদের শান্ত করতে ক্লাব ও কর্তৃপক্ষের পক্ষ থেকে ক্ষমা চেয়েছেন ক্রিশ্চিয়ানো রোনালদো। গত ডিসেম্বর থেকে ইনজুরিতে ক্রিস্টিয়ানো রোনালদো। পায়ের পেশির চোটে ভুগছেন এই পর্তুগিজ সুপারস্টার।",Bangla,English,"Ronaldo expresses regret over the cancellation of the China tour

Al Nassr have cancelled two warm-up matches on their China tour. To calm the angry spectators, Cristiano Ronaldo apologised on behalf of the club and the authorities. Cristiano Ronaldo has been injured since last December. This Portuguese superstar is suffering from a muscle injury in his leg.","চীন সফর বাতিল হওয়ায় রোনালদোর দুঃখ প্রকাশ

 চীন সফরের দুটি প্রস্তুতি ম্যাচ বাতিল করেছে আল নাসর। ক্ষুব্ধ দর্শকদের শান্ত করতে ক্লাব ও কর্তৃপক্ষের পক্ষ থেকে ক্ষমা চেয়েছেন ক্রিশ্চিয়ানো রোনালদো। গত ডিসেম্বর থেকে ইনজুরিতে ক্রিস্টিয়ানো রোনালদো। পায়ের পেশির চোটে ভুগছেন এই পর্তুগিজ সুপারস্টার।"
"ভারতে ৩শ’ রুপির গয়না ৬ কোটিতে বিক্রি করে মার্কিন নারীর সঙ্গে প্রতারণা

 ভারতের রাজস্থান থেকে গয়না কিনে বিপুল পরিমাণ অর্থ প্রতারণার শিকার হয়েছেন এক মার্কিন নারী। অভিযোগ রয়েছে, রাজস্থানের জয়পুরের এক ব্যবসায়ী মাত্র ৩শ’ টাকার গয়না ৬ কোটি রুপিতে বিক্রি করেছেন ওই নারীর কাছে। মঙ্গলবার (১১ জুন) এক প্রতিবেদনে ভারতীয় সংবাদমাধ্যম হিন্দুস্তান টাইমস এ তথ্য জানায়। প্রতিবেদনে বলা হয়, চেরিশ নামে মার্কিন সেই নারী জয়পুরের জহুরি বাজার থেকে যে গয়নাগুলো কিনেছিলেন, সেগুলো রুপার হলেও ওপর দিয়ে সোনার আবরণ দেওয়া ছিল।।",Bangla,English,"American woman defrauded in India after jewellery worth 300 rupees was sold to her for 6 crore rupees

An American woman became the victim of fraud involving a huge amount of money after buying jewellery from Rajasthan, India. It is alleged that a businessman from Jaipur in Rajasthan sold jewellery worth only 300 rupees to the woman for 6 crore rupees. Indian news outlet Hindustan Times reported this in a report on Tuesday (11 June). The report said that the jewellery the American woman named Cherish bought from Johari Bazaar in Jaipur was silver, but it had a gold coating over it.","ভারতে ৩শ’ রুপির গয়না ৬ কোটিতে বিক্রি করে মার্কিন নারীর সঙ্গে প্রতারণা

 ভারতের রাজস্থান থেকে গয়না কিনে বিপুল পরিমাণ অর্থ প্রতারণার শিকার হয়েছেন এক মার্কিন নারী। অভিযোগ রয়েছে, রাজস্থানের জয়পুরের এক ব্যবসায়ী মাত্র ৩শ’ টাকার গয়না ৬ কোটি রুপিতে বিক্রি করেছেন ওই নারীর কাছে। মঙ্গলবার (১১ জুন) এক প্রতিবেদনে ভারতীয় সংবাদমাধ্যম হিন্দুস্তান টাইমস এ তথ্য জানায়। প্রতিবেদনে বলা হয়, চেরিশ নামে মার্কিন সেই নারী জয়পুরের জহুরি বাজার থেকে যে গয়নাগুলো কিনেছিলেন, সেগুলো রুপার হলেও ওপর দিয়ে সোনার আবরণ দেওয়া ছিল।।"
" মোস্তাফিজ বলেন, ভালো লাগার প্রসঙ্গ এলে আমি টি-টোয়েন্টিটা খুব পছন্দ করি। এই সংস্করণে (টি-টোয়েন্টি) চাপ বেশি। এ কারণেই মনে হয় আমার ভালো লাগে। আমি চাপটা অনেক উপভোগ করি।।",Bangla,English,"Mustafiz said, when it comes to what I like, I really enjoy T20 cricket. There is more pressure in this format (T20). Maybe that's why I like it. I really enjoy the pressure.",
"তুরস্কে দাবানলে নিহত ৫

 তুরস্কের দক্ষিণ-পূর্বাঞ্চলের কয়েকটি গ্রামে দাবানল ছড়িয়ে পড়াছে। এতে ওই অঞ্চলের অন্তত ৫ জনের মৃত্যু হয়েছে। আহত হয়েছেন প্রায় অর্ধশত বাসিন্দা। তাদের মধ্যে ১০ জনের অবস্থা গুরুতর। শুক্রবার (২১ জুন) দেশটির স্বাস্থ্যমন্ত্রী এ তথ্য জানান। স্বাস্থ্যমন্ত্রী ফাহরেতিন কোকা এক্সে এক পোস্টে বলেছেন, দক্ষিণ-পূর্বাঞ্চলীয় শহর মারদিনের কাছে দুটি এলাকায় আগুন ছড়িয়ে পড়ায় পাঁচজন মারা গেছে এবং ৪৪ জন আহত হয়েছে। এদের মধ্যে ১০ জন গুরুতর আহত হয়েছে।।",Bangla,English,"5 killed in wildfires in Turkey

Wildfires have spread to several villages in the Southeastern Turkey. At least 5 people have died in the region. Nearly 50 residents have been injured, with 10 in critical condition. The country's Health Minister shared this information on Friday (June 21). Health Minister Fahrettin Koca stated in a post on X that fires spread in two areas near the Southeastern city of Mardin, resulting in five deaths and 44 injuries, with 10 in serious condition.",
